Time,Residential_Heating,Residential_Cooling,Residential_DHW,Office_Heating,Office_Cooling,Office_DHW,community_center_Heating,community_center_Cooling,community_center_DHW,Retail_Heating,Retail_Cooling,Retail_DHW,Grocery_Heating,Grocery_Cooling,Grocery_DHW,Hotel_Heating,Hotel_Cooling,Hotel_DHW
1/1/2018 1:00:00AM,0.001479206,0,0,0.000367436,0,0.000173397,0.001579681,3.48245E-05,0,0,0,0,7.24461E-05,0,0,0.000373089,0.000590351,0.000217432
1/1/2018 2:00:00AM,0.001311507,0,0.000366763,0.000446603,0,0.000173397,0.001582921,3.35911E-05,0,0,0,0,0.000192496,0,0,0.000277885,0.000517443,0.000214758
1/1/2018 3:00:00AM,0.001268755,0,0.000196246,0.000418659,0,0.000173397,0.001556884,3.42365E-05,0,0,0,0,7.90339E-05,0,0,0.000266995,0.000603982,0.000214822
