Time,Residential_Heating,Residential_Cooling,Residential_DHW,Office_Heating,Office_Cooling,Office_DHW,community_center_Heating,community_center_Cooling,community_center_DHW,Retail_Heating,Retail_Cooling,Retail_DHW,Grocery_Heating,Grocery_Cooling,Grocery_DHW,Hotel_Heating,Hotel_Cooling,Hotel_DHW
 08/23  23:00:00,0,0.000718949,0.000646325,0,0,5.14E-05,0.001164598,6.99E-05,0,0,5.87E-07,5.27E-05,0,0,0,0,0.005056082,0.000439762
 08/23  24:00:00,0,0.000313885,0.000413811,0,0,5.14E-05,0.001158045,6.92E-05,0,0,0,0,0,2.45E-05,0,0,0.004182882,0.000216465
 08/24  01:00:00,0,0.000144413,0.000218975,0,0,5.14E-05,0.001300258,0.000068689,0,0,0,0,0,0,0,0,0.003656223,0.000351452
 08/24  02:00:00,0,6.18E-05,0.000146674,0,0,5.14E-05,0.001309412,6.81E-05,0,0,0,0,0,0,0,0,0.003235272,0
 08/24  03:00:00,0,2.37E-05,0.00021998,0,0,5.14E-05,0.001312777,6.74E-05,0,0,0,0.000052702,0,0,0,0,0.00294249,0.00021413
 08/24  04:00:00,0,1.21E-05,0.000269487,0,0,5.14E-05,0.001330604,6.67E-05,0,0,0,5.27E-05,0,0,0,0,0.002741042,0.000216187
 08/24  05:00:00,0,2.71E-05,0.000649836,0,0,5.14E-05,0.001338701,6.59E-05,0,0,0,0.000105401,0,0,0,0,0.002718626,0.000444503
 08/24  06:00:00,0,5.35E-05,0.002049528,0,0,5.14E-05,0.002134609,0.003654316,4.30E-05,0,0,0.000105415,0,0,0,0,0.001431061,0.000942639
 08/24  07:00:00,0,0.000116388,0.002090259,0.000175464,0,0.00249177,0.002210261,0.002256393,0.000248332,0.000116558,0,5.27E-05,0.001881765,0.00193001,0,0,0.000831655,0.001005999
 08/24  08:00:00,0,0.000180187,0.002039587,0.001246775,0.000151307,0.002697278,0.001780138,0.002182839,0.000248332,0.000109547,3.00E-06,0,0.002049063,0,0,5.32E-07,0.00205499,0.002712933
 08/24  09:00:00,0,0.000596569,0.001826662,0.001222589,0.004574167,0.002979852,0.00345019,0.00291335,0.000165554,0.000137238,1.89E-06,0.000105966,0.000337122,0.00774239,0,0,0.002713419,0.002428992
 08/24  10:00:00,0,0.001348484,0.001667983,0.000757249,0.002745671,0.001836721,0.00338537,0.003367068,0.000165554,0,6.00E-05,0.00010621,1.87E-05,0.006799087,0,0,0.002237525,0.002185199
 08/24  11:00:00,0,0.001871967,0.001394201,0.000300099,0.002830937,0.001836721,0.003279988,0.004867744,0.000413886,0,0.00023447,0.000159903,3.72E-05,0.012996026,0,0,0.002668946,0.001957238
 08/24  12:00:00,0,0.002109851,0.001159108,1.26E-05,0.003178018,0.002466085,0.003263201,0.006488146,0.000496663,0,0.000294082,0.00032076,4.43E-05,0.018880064,0,0,0.002971279,0.001956176
 08/24  13:00:00,0,0.002531604,0.001124021,1.10E-05,0.004541534,0.002902786,0.003317922,0.006826039,0.000273165,0,0.000571248,0.000160834,4.83E-05,0.023840591,0,0,0.003961995,0.001954879
 08/24  14:00:00,0,0.002993735,0.000946396,8.49E-06,0.004319004,0.002517461,0.003409531,0.007188244,0.000273165,0,0.000683183,0.000267974,1.54E-05,0.030289469,0,0,0.004290186,0.001952107
 08/24  15:00:00,0,0.003210225,0.001058163,7.90E-06,0.003353037,0.001836721,0.00346061,0.007900837,0.000413886,0,0.000744255,0.000217376,0,0.028769417,0,0,0.004424553,0.001892525
 08/24  16:00:00,0,0.003300328,0.001240882,8.15E-06,0.003402554,0.001836721,0.003012586,0.008381497,0.000993328,0,0.000740448,0.000209954,1.18E-05,0.026889748,0,6.16E-07,0.004013392,0.000363777
 08/24  17:00:00,0,0.00338243,0.001615861,1.06E-05,0.003538748,0.001682589,0.002569809,0.007802059,0.002069427,0,0.000754778,0.000267006,0,0.026109655,0,2.91E-07,0.004353181,0.00032898
 08/24  18:00:00,0,0.00313327,0.001859823,1.76E-05,0.003548669,0.001913782,0.002137464,0.004753196,0.002483317,0,0.00070385,0.000106777,7.06E-05,0.018966528,0,0,0.004192747,0.000697994
